TradeSeq TradeDate DeliveryMonth SettlePrice
1 870102 8703 246.75
2 870105 8703 253.25
3 870106 8703 253.55
4 870107 8703 256.25
5 870108 8703 257.3
6 870109 8703 259.5
7 870112 8703 260.75
8 870113 8703 261.35
9 870114 8703 263.3
10 870115 8703 266.95
11 870116 8703 266.7
12 870119 8703 271.4
13 870120 8703 269.4
14 870121 8703 268.9
15 870122 8703 276.4
16 870123 8703 269.3
17 870126 8703 271.35
18 870127 8703 274.45
19 870128 8703 277.55
20 870129 8703 275.15
21 870130 8703 274.15
22 870202 8703 277.35
23 870203 8703 276.35
24 870204 8703 280.7
25 870205 8703 282.35
26 870206 8703 281.2
27 870209 8703 279.35
28 870210 8703 275.85
29 870211 8703 277.65
30 870212 8703 276.75
31 870213 8703 282.05
32 870217 8703 287.05
33 870218 8703 286.7
34 870219 8703 286.2
35 870220 8703 285.65
36 870223 8703 282.85
37 870224 8703 282.45
38 870225 8703 283.9
39 870226 8703 283.55
40 870227 8703 283.55
41 870302 8703 283.6
42 870303 8703 284.1
43 870304 8703 289
44 870305 8703 290.2
45 870306 8703 291.2
46 870309 8703 288.4
47 870310 8703 290.9
48 870311 8703 289.95
49 870312 8703 290.85
50 870313 8703 289.45
51 870316 8703 287.85
52 870317 8703 293.3
53 870318 8703 292.65
54 870319 8703 294.2
55 870320 8703 298.17
57 870324 8803 308.55
58 870325 8803 308.55
59 870326 8803 308.5
60 870327 8803 302.3
61 870330 8803 295.4
62 870331 8803 296.15
63 870401 8803 299.3
64 870402 8803 298.4
65 870403 8803 308.55
66 870406 8803 309.3
67 870407 8803 301.45
68 870408 8803 305.5
69 870409 8803 300.45
70 870410 8803 298.7
71 870413 8803 289.8
72 870414 8803 284.9
73 870415 8803 290.4
74 870416 8803 293.7
75 870420 8803 292.25
76 870421 8803 299.8
77 870422 8803 291.65
78 870423 8803 292.85
79 870424 8803 285.9
80 870427 8803 285.6
81 870428 8803 288.75
82 870429 8803 290.35
83 870430 8803 294.7
84 870501 8803 295.2
85 870504 8803 297.1
86 870505 8803 301.9
87 870506 8803 302.2
88 870507 8803 300.65
89 870508 8803 301.15
90 870511 8803 297.8
91 870512 8803 300.95
92 870513 8803 301.25
93 870514 8803 301.2
94 870515 8803 293.95
95 870518 8803 293.9
96 870519 8803 285.65
97 870520 8803 286.25
98 870521 8803 287.15
99 870522 8803 288.15
100 870526 8803 296.8
101 870527 8803 295.7
102 870528 8803 298.45
103 870529 8803 295.7
104 870601 8803 297.1
105 870602 8803 294.5
106 870603 8803 300.9
107 870604 8803 301.4
108 870605 8803 299.2
109 870608 8803 302.45
110 870609 8803 303.8
111 870610 8803 303.1
112 870611 8803 305.6
113 870612 8803 308.3
114 870615 8803 310.2
115 870616 8803 311.6
116 870617 8803 311.8
117 870618 8803 312.75
118 870619 8803 313.2
119 870622 8803 316.95
120 870623 8803 315.15
121 870624 8803 313.65
122 870625 8803 315.3
123 870626 8803 315.1
124 870629 8803 314.3
125 870630 8803 308
126 870701 8803 309.3
127 870702 8803 311.5
128 870706 8803 310.65
129 870707 8803 314.45
130 870708 8803 315.4
131 870709 8803 313.45
132 870710 8803 314.05
133 870713 8803 314.05
134 870714 8803 316.6
135 870715 8803 316.85
136 870716 8803 318.8
137 870717 8803 319.6
138 870720 8803 317.5
139 870721 8803 314.85
140 870722 8803 314.85
141 870723 8803 314.15
142 870724 8803 315.2
143 870727 8803 316.6
144 870728 8803 318
145 870729 8803 322
146 870730 8803 324.55
147 870731 8803 325.25
148 870803 8803 324
149 870804 8803 322.55
150 870805 8803 324.35
151 870806 8803 328.35
152 870807 8803 330.2
153 870810 8803 334.6
154 870811 8803 340.3
155 870812 8803 340.05
156 870813 8803 341.45
157 870814 8803 341.65
158 870817 8803 341.3
159 870818 8803 335.7
160 870819 8803 336.95
161 870820 8803 342.2
162 870821 8803 341.6
163 870824 8803 340.9
164 870825 8803 344
165 870826 8803 341.6
166 870827 8803 337.7
167 870828 8803 333.2
168 870831 8803 336.6
169 870901 8803 329.2
170 870902 8803 328.35
171 870903 8803 325.45
172 870904 8803 320.95
173 870908 8803 319.6
174 870909 8803 319.7
175 870910 8803 322.95
176 870911 8803 327.9
177 870914 8803 327.95
178 870915 8803 322.8
179 870916 8803 319.35
180 870917 8803 320.9
181 870918 8803 321.45
182 870921 8803 316.3
183 870922 8803 327.2
184 870923 8803 328.1
185 870924 8803 325.65
186 870925 8803 327.65
187 870928 8803 329.75
188 870929 8803 328.1
189 870930 8803 329.2
190 871001 8803 335.15
191 871002 8803 335
192 871005 8803 334.4
193 871006 8803 323.4
194 871007 8803 324.2
195 871008 8803 319.45
196 871009 8803 315.8
197 871012 8803 315.1
198 871013 8803 319.25
199 871014 8803 308.65
200 871015 8803 301.8
201 871016 8803 285.45
202 871019 8803 204.1
203 871020 8803 218.65
204 871021 8803 260.25
205 871022 8803 246.5
206 871023 8803 242.85
207 871026 8803 222
208 871027 8803 229.75
209 871028 8803 232.45
210 871029 8803 247
211 871030 8803 260.8
212 871102 8803 259.1
213 871103 8803 251.5
214 871104 8803 251.5
215 871105 8803 256.8
216 871106 8803 250.5
217 871109 8803 247
218 871110 8803 240.7
219 871111 8803 243.5
220 871112 8803 250.95
221 871113 8803 249
222 871116 8803 249.6
223 871117 8803 244.1
224 871118 8803 247.75
225 871119 8803 239.9
226 871120 8803 242.9
227 871123 8803 245.1
228 871124 8803 247.15
229 871125 8803 245.3
230 871127 8803 238.05
231 871130 8803 232.95
232 871201 8803 232.8
233 871202 8803 233.9
234 871203 8803 224.35
235 871204 8803 226.3
236 871207 8803 230.35
237 871208 8803 235.55
238 871209 8803 240.45
239 871210 8803 235.05
240 871211 8803 236.15
241 871214 8803 244.8
242 871215 8803 245.5
243 871216 8803 248.65
244 871217 8803 244.3
245 871218 8803 248.45
246 871221 8803 252.35
247 871222 8803 251.85
248 871223 8803 254.7
249 871224 8803 253.3
250 871228 8803 246.3
251 871229 8803 246.3
252 871230 8803 250.2
