DATE   VALUE
1987-01-02   5.55
1987-01-05   5.55
1987-01-06   5.51
1987-01-07   5.43
1987-01-08   5.43
1987-01-09   5.38
1987-01-12   5.37
1987-01-13   5.36
1987-01-14   5.35
1987-01-15   5.36
1987-01-16   5.33
1987-01-19      .
1987-01-20   5.30
1987-01-21   5.31
1987-01-22   5.38
1987-01-23   5.40
1987-01-26   5.49
1987-01-27   5.49
1987-01-28   5.47
1987-01-29   5.48
1987-01-30   5.60
1987-02-02   5.61
1987-02-03   5.59
1987-02-04   5.63
1987-02-05   5.59
1987-02-06   5.66
1987-02-09   5.72
1987-02-10   5.82
1987-02-11   5.86
1987-02-12   5.72
1987-02-13   5.65
1987-02-16      .
1987-02-17   5.72
1987-02-18   5.60
1987-02-19   5.45
1987-02-20   5.43
1987-02-23   5.44
1987-02-24   5.44
1987-02-25   5.45
1987-02-26   5.45
1987-02-27   5.45
1987-03-02   5.48
1987-03-03   5.54
1987-03-04   5.51
1987-03-05   5.52
1987-03-06   5.64
1987-03-09   5.64
1987-03-10   5.68
1987-03-11   5.69
1987-03-12   5.67
1987-03-13   5.62
1987-03-16   5.65
1987-03-17   5.57
1987-03-18   5.52
1987-03-19   5.50
1987-03-20   5.52
1987-03-23   5.62
1987-03-24   5.61
1987-03-25   5.57
1987-03-26   5.57
1987-03-27   5.63
1987-03-30   5.66
1987-03-31   5.61
1987-04-01   5.54
1987-04-02   5.51
1987-04-03   5.50
1987-04-06   5.47
1987-04-07   5.51
1987-04-08   5.50
1987-04-09   5.75
1987-04-10   5.85
1987-04-13   6.02
1987-04-14   5.92
1987-04-15   5.68
1987-04-16   5.56
1987-04-17      .
1987-04-20   5.54
1987-04-21   5.50
1987-04-22   5.42
1987-04-23   5.49
1987-04-24   5.76
1987-04-27   5.78
1987-04-28   5.82
1987-04-29   5.71
1987-04-30   5.53
1987-05-01   5.60
1987-05-04   5.67
1987-05-05   5.81
1987-05-06   5.50
1987-05-07   5.53
1987-05-08   5.53
1987-05-11   5.65
1987-05-12   5.60
1987-05-13   5.53
1987-05-14   5.73
1987-05-15   5.95
1987-05-18   5.87
1987-05-19   5.78
1987-05-20   5.69
1987-05-21   5.53
1987-05-22   5.55
1987-05-25      .
1987-05-26   5.61
1987-05-27   5.76
1987-05-28   5.63
1987-05-29   5.68
1987-06-01   5.70
1987-06-02   5.76
1987-06-03   5.69
1987-06-04   5.66
1987-06-05   5.68
1987-06-08   5.66
1987-06-09   5.51
1987-06-10   5.48
1987-06-11   5.54
1987-06-12   5.55
1987-06-15   5.65
1987-06-16   5.63
1987-06-17   5.65
1987-06-18   5.65
1987-06-19   5.66
1987-06-22   5.66
1987-06-23   5.72
1987-06-24   5.83
1987-06-25   5.84
1987-06-26   5.78
1987-06-29   5.67
1987-06-30   5.73
1987-07-01   5.64
1987-07-02   5.66
1987-07-03      .
1987-07-06   5.67
1987-07-07   5.60
1987-07-08   5.57
1987-07-09   5.61
1987-07-10   5.59
1987-07-13   5.61
1987-07-14   5.55
1987-07-15   5.58
1987-07-16   5.58
1987-07-17   5.56
1987-07-20   5.55
1987-07-21   5.69
1987-07-22   5.66
1987-07-23   5.67
1987-07-24   5.75
1987-07-27   5.81
1987-07-28   5.86
1987-07-29   5.88
1987-07-30   6.07
1987-07-31   6.07
1987-08-03   6.05
1987-08-04   5.85
1987-08-05   5.85
1987-08-06   5.74
1987-08-07   5.85
1987-08-10   5.91
1987-08-11   5.94
1987-08-12   5.95
1987-08-13   5.96
1987-08-14   5.96
1987-08-17   5.98
1987-08-18   6.02
1987-08-19   6.04
1987-08-20   6.11
1987-08-21   6.10
1987-08-24   6.17
1987-08-25   6.18
1987-08-26   6.25
1987-08-27   6.29
1987-08-28   6.31
1987-08-31   6.25
1987-09-01   6.12
1987-09-02   6.09
1987-09-03   6.19
1987-09-04   6.38
1987-09-07      .
1987-09-08   6.44
1987-09-09   6.43
1987-09-10   6.33
1987-09-11   6.35
1987-09-14   6.34
1987-09-15   6.34
1987-09-16   6.34
1987-09-17   6.38
1987-09-18   6.42
1987-09-21   6.51
1987-09-22   6.49
1987-09-23   6.47
1987-09-24   6.41
1987-09-25   6.50
1987-09-28   6.53
1987-09-29   6.69
1987-09-30   6.61
1987-10-01   6.63
1987-10-02   6.66
1987-10-05   6.68
1987-10-06   6.55
1987-10-07   6.56
1987-10-08   6.69
1987-10-09   6.75
1987-10-12      .
1987-10-13   6.74
1987-10-14   7.19
1987-10-15   7.07
1987-10-16   6.93
1987-10-19   6.39
1987-10-20   5.86
1987-10-21   5.60
1987-10-22   5.36
1987-10-23   5.29
1987-10-26   5.22
1987-10-27   5.23
1987-10-28   5.10
1987-10-29   5.03
1987-10-30   5.27
1987-11-02   5.62
1987-11-03   5.63
1987-11-04   5.54
1987-11-05   5.58
1987-11-06   5.73
1987-11-09   5.70
1987-11-10   5.67
1987-11-11      .
1987-11-12   5.83
1987-11-13   5.91
1987-11-16   5.87
1987-11-17   5.88
1987-11-18   5.77
1987-11-19   5.66
1987-11-20   5.72
1987-11-23   5.78
1987-11-24   5.77
1987-11-25   5.70
1987-11-26      .
1987-11-27   5.63
1987-11-30   5.21
1987-12-01   5.55
1987-12-02   5.49
1987-12-03   5.36
1987-12-04   5.43
1987-12-07   5.82
1987-12-08   5.86
1987-12-09   5.83
1987-12-10   5.92
1987-12-11   5.86
1987-12-14   5.85
1987-12-15   5.93
1987-12-16   5.94
1987-12-17   5.93
1987-12-18   5.87
1987-12-21   5.87
1987-12-22   5.93
1987-12-23   5.78
1987-12-24   5.74
1987-12-25      .
1987-12-28   5.70
1987-12-29   5.84
1987-12-30   5.71
1987-12-31   5.68
